address,pro_tx_hash,kind,valid,status,stale,score,grade,headers_synced,headers_target,headers_per_sec,filter_headers_synced,filters_synced,filters_per_sec,advertised_height,connect_ms,avg_ping_ms,bytes_received,timeouts,validation_failures,total_secs,error
66.245.196.52:9999,801a47e66cae32f74b3a2a241d9b8efc467b1cf0db18e85c07683d1765ace003,Evo,true,done,false,98.4,A,52843,52843,7422.1,52843,52843,12024.8,2502843,195,199,26540379,0,0,10.75,
138.197.141.70:9999,a239ad07a5b7b2919ea4a9dc5101c9d80f124e0d8adcd8cffd110dcfd4dde003,Regular,true,done,false,99.6,A,52843,52843,6899.0,52843,52843,11888.1,2502843,73,90,27166225,0,0,11.26,
34.209.37.222:9999,466f1b8c3c8af9c9ab67ab084f7b04d8c960cba34922e902953f1da8a819e503,Regular,true,done,false,99.4,A,52843,52843,8057.3,52843,52843,13733.9,2502843,103,103,27510028,0,0,9.50,
168.119.80.12:9999,aa935d19d079ddead0a14dad769ca724d599383d7fbe469ed5dba2c22b7c0c04,Regular,true,done,false,96.9,A,52843,52843,6637.5,52843,52843,10635.9,2502843,763,287,27384440,0,0,12.76,
139.180.158.125:9999,590a2512c915b24ccc86b852431f0de1014a25542f08645f70f242b715e42004,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
142.93.38.4:9999,59e5bfe32c3518664505b08e9c3eb392fa933e49d50a641602c3068230333404,Regular,true,done,false,98.3,A,52843,52843,5984.7,52843,52843,10637.5,2502843,204,202,27387591,0,0,12.01,
192.248.169.180:9999,93c83f915d010abb8ca4fbb57f8fb1d4ae37738a7092ec9f84bcea29d4053904,Regular,true,done,false,98.4,A,52843,52843,7930.6,52843,52843,13425.2,2502843,197,198,27262051,0,0,10.01,
178.128.80.241:9999,f856bb047fc076d55a535f7352fe64071eaff7b57408d57bdea3fa24d2d26704,Regular,true,done,false,95.2,A,52843,52843,5748.8,52843,52843,9734.2,2502843,734,447,27250539,0,0,14.27,
157.173.122.20:9999,0b8241b78742cc7b8e2d2a2d00489fa4bf975afa1f381bce5b0d1bb0fb7b6c04,Evo,true,done,false,97.5,A,52843,52843,6827.6,52843,52843,12731.1,2502843,266,273,27318523,0,0,11.01,
46.4.162.103:9999,fe0b95356aa77dc36a40e416914a2ea9203aafcfad5d832c8343b77238109204,Regular,true,done,false,97.8,A,52843,52843,7228.7,52843,52843,12658.0,2502843,254,253,27080717,0,0,11.01,
46.30.189.251:9999,582a9660e7edbd0f37176e5454b5159cf4f60f19206a105c0d6b68c362dda804,Regular,true,done,false,98.1,A,52843,52843,6495.5,52843,52843,11657.2,2502843,220,220,27089616,0,0,11.76,
